Uniform,Normal,Exponential,Cauchy,Uniform,Normal,Exponential,Cauchy
123,107,95,107,"9,12030622821344",5,"2,08018686993881","5,01527356326417"
109,107,92,111,"5,51689061057814",5,"1,29634657231172","6,11267133792581"
121,106,92,108,"8,38024706480748","4,68189755805642","1,26131666066417","5,13347943004762"
97,107,93,105,"2,59656109501555",5,"1,4244307885878","4,58181454029564"
124,107,95,91,"9,15097456943564",5,"1,88985872548898",1
109,104,94,124,"5,41248753862069","4,2974577451516","1,62822958068302","9,17310263053303"
117,107,95,107,"7,42051130780264",5,"1,95495583340361","4,96814833259164"
102,107,100,108,"3,80479408019595",5,"3,1952814126181","5,29273314838148"
102,103,97,113,"3,79866472873328","4,04023021605534","2,41390018143109","6,58134490138416"
112,105,96,127,"6,21982220701123","4,58859709374041","2,13450778431161",10
93,105,103,107,"1,48901003908912","4,37551945565698","3,96015142367267","4,90903882928057"
120,106,96,98,"8,16909161623708","4,80684169567024","2,27110880053038","2,8352226098123"
114,91,98,91,"6,70512042863926",1,"2,69558905180363",1
106,91,99,111,"4,84019885896563",1,"2,99638806622359","5,89507075907325"
95,107,100,111,"1,98898988776187",5,"3,2067056916861","5,95089445280784"
122,102,98,109,"8,78419874096941","3,62997227134951","2,72171606589332","5,42491001590573"
122,107,91,113,"8,64221006988548",5,"1,01307824154221","6,59751599137723"
93,107,93,100,"1,40247292196277",5,"1,47637678864093","3,19535808056598"
113,101,92,126,"6,55723603968208","3,43970558021036","1,26426583110552","9,77588199478261"
111,106,94,106,"6,07470723901946","4,6991876739228","1,66709819775757","4,74698498655511"
107,103,106,111,"4,90871217589453","4,03821639782378","4,77741297676279","6,08963464501834"
126,107,94,107,"9,83948128044349",5,"1,85596918992509","5,06045942045521"
123,97,104,99,"9,06438444517504","2,61025674434444","4,33869220232203","3,11375044894826"
117,107,94,91,"7,47512060750395",5,"1,72881772682713",1
94,98,93,113,"1,74661722898377","2,73009655753752","1,50677848604325","6,44353175865075"
91,107,95,110,"1,12256462828168",5,"2,11101609913058","5,74334145348429"
121,99,94,119,"8,56394939936283","2,91737485199827","1,70934819146663","8,02880218023921"
118,107,93,107,"7,83383481282014",5,"1,55116796356963","4,88480446548513"
119,107,92,115,"7,94286043299448",5,"1,32235005565463","6,89416060854574"
102,103,91,95,"3,72695446965184","3,95141193052021","1,05357469901701","2,11348048652114"
92,107,96,113,"1,27674637530056",5,"2,2103788420745","6,57805792044463"
92,99,107,112,"1,34283738682141","3,0927367802211","4,92526308788181","6,13010268193519"
119,98,94,106,"7,9902737704034","2,79785165038786","1,67248973081673","4,86712563710517"
108,107,104,116,"5,2480726307811",5,"4,33190962104053","7,21005215831937"
106,107,94,115,"4,69617456827952",5,"1,69215366198355","6,92151346393744"
123,107,94,102,"8,992942100347",5,"1,75775621840358","3,80534220504469"
116,93,96,116,"7,2980774655553","1,52116203267145","2,31758449752531","7,33410456579627"
118,107,106,109,"7,67906636354893",5,"4,78895354305596","5,38842575959245"
126,91,93,127,"9,68055442856964",1,"1,40853577779827",10
123,107,96,104,"9,03140230793083",5,"2,16133464012214","4,28344851653571"
122,103,91,113,"8,84710964759701","4,08624968318313","1,01837342688673","6,44914386809043"
126,105,99,126,"9,75417457875104","4,49856649537353","3,03588951784821","9,82292596688234"
111,107,98,117,"5,94142173884383",5,"2,85981769185644","7,37926667362129"
108,107,97,91,"5,17188619074199",5,"2,61841641899734",1
123,107,92,108,"8,89248687903444",5,"1,34861327240399","5,33624471624098"
124,105,97,127,"9,31197867739655","4,43987411419717","2,4799986322188",10
110,107,94,127,"5,6484086553724","4,87709227403704","1,8488092342851",10
96,107,105,113,"2,16443197362826",5,"4,45211873221218","6,57077496450743"
93,107,93,109,"1,49150614088728",5,"1,41966521968192","5,3858333257192"
121,107,96,104,"8,42399813275391",5,"2,32073776074551","4,31102107563806"
113,107,95,107,"6,37766984490793",5,"2,02483528133675","5,02868735355984"
114,107,101,107,"6,62716738314468",5,"3,38847646533766","4,90132932790361"
125,107,91,112,"9,39648400861642",5,"1,08590564001864","6,25438516197627"
94,101,95,115,"1,64958522025996","3,47645963055437","2,04573225676803","7,05030837642187"
108,96,94,113,"5,20520603189856","2,28687987645952","1,72238893288234","6,38360168602809"
93,101,91,108,"1,56740801696628","3,47267120276317","1,01489815973273","5,18239250737695"
101,107,91,113,"3,49696869695822",5,"1,02659691227448","6,3767332104636"
118,107,98,119,"7,77259486842522",5,"2,76742863474011","8,07313675419307"
103,107,93,115,"3,88186074505097",5,"1,38858670962618","6,91202354802932"
